전입남자,전입여자,전출남자,전출여자
"73,389","78,228","77,842","79,991"
"1,266","1,378","1,353","1,344"
949,"1,017","1,075","1,069"
"2,111","2,351","1,942","1,940"
"2,282","2,374","2,575","2,466"
"2,551","2,881","2,775","3,052"
"2,802","2,838","2,766","2,778"
"2,534","2,595","2,860","2,792"
"3,180","3,581","3,386","3,563"
"1,865","1,937","2,121","2,165"
"1,831","1,923","2,122","2,197"
"3,075","3,297","3,479","3,570"
"2,859","3,162","3,231","3,420"
"2,252","2,678","2,455","2,635"
"3,104","3,495","3,162","3,624"
"3,048","3,114","3,256","3,146"
"4,708","5,029","4,733","4,758"
"2,591","2,584","2,685","2,736"
"1,732","1,656","1,766","1,674"
"3,027","3,179","3,129","3,091"
"3,504","3,741","3,326","3,530"
"5,001","4,970","5,193","5,055"
"2,914","3,188","3,392","3,735"
"4,298","4,570","4,954","5,191"
"5,079","5,574","6,230","6,513"
"4,826","5,116","3,876","3,947"
